Potential (V)	Current (A)	
-0.44871124625206	-0.000874726451002061	
-0.449631363153458	-0.000942692568060011	
-0.450244784355164	-0.000909690978005528	
-0.45085820555687	-0.000890797877218574	
-0.452085018157959	-0.000986796920187771	
-0.452391743659973	-0.000950973655562848	
-0.452698439359665	-0.000923124724067748	
-0.453925251960754	-0.000889325689058751	
-0.455152094364166	-0.00101605674717575	
-0.455152094364166	-0.000987042323686183	
-0.455765515565872	-0.000955819617956877	
-0.456992328166962	-0.00094428745796904	
-0.457299023866653	-0.000938889395911247	
-0.458219140768051	-0.00103955040685833	
-0.458525866270065	-0.00101765163708478	
-0.459445983171463	-0.00100838905200362	
-0.460059404373169	-0.0009813989745453	
-0.460366100072861	-0.000992194982245564	
-0.46159291267395	-0.000973424583207816	
-0.461899638175964	-0.000983300502412021	
-0.463126450777054	-0.000985447433777153	
-0.463433146476746	-0.000990048050880432	
-0.464659988880157	-0.000997224939055741	
-0.464966684579849	-0.00100145756732672	
-0.465886801481247	-0.00100863445550203	
-0.466500222682953	-0.00100661022588611	
-0.466500222682953	-0.00103562464937568	
-0.467727035284042	-0.0010315147228539	
-0.468033760786057	-0.00104224949609488	
-0.468647181987762	-0.00104599131736904	
-0.470180690288544	-0.00104887434281409	
-0.47079411149025	-0.00105329090729356	
